Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
sp|P61320|LOLB_ECOLI,lolB,Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1,7,338.14,P61320,257.839130173002,225.316331812803,255.33281523899,258.668988673237,256.003977781649,248.592605898183,242.510135963783,315.104378449426,270.958092307506,224.490239580982,264.736842995517,246.439479686947,283.490494677583,282.686022919917,241.497219500327,212.761590969501,223.433255673581,223.413698649822,289.204409996558,282.02048302314,290.827004516516,212.691874597729,213.54865279425,268.836975681326,227.27067512253,217.354905577959,228.714645068271,192.878033218614,173.373402127065,213.623869938756,142.1658960562,133.274915456589,148.447749947269,118.768259076633,116.491592230734,138.69548538611,91.9075079445993,172.364833729918,153.116928324625,200.037721044495,161.584111345298,182.667898791608,239.730998272122,265.975540661809,244.567211168288,251.531190976079,281.127171916033,340.29398789951,222.416406332987,168.704603805319,215.627209762845,335.021114849441,326.45054675521,378.430210691847,260.032271148317,324.59623963133,272.877740546016,261.405582980597,307.995089038889,272.352677785529,247.979879987979,247.13099109135,231.299552772744,294.539472032363,293.01019151972,346.288916892671,285.515385503746,274.409643223124,281.51806597897
sp|P07639|AROB_ECOLI,aroB,3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,7,515.44,P07639,257.375194969906,242.145800164175,247.748219418113,304.926119701199,313.062132101875,268.984183645877,261.351778654692,286.557779581671,270.738320922517,212.426942257961,201.211740746144,225.748462691996,220.984589487542,180.523585465131,231.83267693814,243.311588698137,237.736169672838,220.257050379743,250.47923188172,249.353300883051,295.466625549327,314.675255052379,268.944221267971,270.831777526781,199.753060179853,210.122035820544,231.588103172147,226.246842268719,189.309525045128,233.629015143096,227.637419690459,214.514728161435,191.929544544976,173.174950621523,168.360196051851,193.573865998551,62.3346521165666,75.9926118570468,68.4715409402497,49.2591984855103,36.8157792443688,79.8419615746286,268.971479721303,323.241453452601,341.589465948374,327.528640269699,551.498174365891,316.197686448688,402.911661689636,253.600374828656,474.830325978789,351.002995060916,329.554987999471,331.637839633134,280.139497920334,276.033177096276,211.130939746643,238.20226940028,263.891280111563,257.757109948021,273.009180755817,243.900446088509,241.882476257246,247.264671965403,248.451640577055,246.944060898712,281.465739045194,233.864460266685,259.878290929237
sp|P52007|YECM_ECOLI,yecM,Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3,4,257.8,P52007,256.018680741111,390.661874531091,351.753577014557,284.473121419911,276.880116666411,281.138042573946,225.782046282965,246.147163238809,216.525152215477,151.230679792507,161.754971611063,162.498141178383,144.482079184266,192.120212977678,158.129529821415,180.242282470348,190.067144561423,173.234756719676,232.627836779587,216.761312959508,238.621189824711,242.674243200141,188.443698095541,243.460761063993,150.694019141965,137.795596300036,145.187258187511,135.29203558913,131.380999004191,140.71678999424,129.431511483036,142.795518206923,95.9245392644719,117.822804646318,109.445346470661,113.164495404318,68.2847193799559,60.5053323051383,96.9442819839132,76.2293616146949,90.6195575686172,102.004740620098,215.025544521866,299.474336004548,267.651948001223,359.460550909128,300.504003835494,289.567600611204,175.380601249555,104.436732529046,213.980996808179,253.480277696423,202.624128298744,169.894255941352,242.534216673207,219.12901855846,247.360151582777,192.163097573322,217.162224099319,179.632159773497,141.916756945705,159.631954083671,151.117936522822,197.833977586634,185.321475554458,145.979031409288,192.541833609318,221.882362597772,201.976467602407
sp|P0A8H8|YACG_ECOLI,yacG,UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1,1,39.63,P0A8H8,254.650834640954,226.548923833633,282.270069352563,131.08735492114,94.5926480832428,66.6410714323064,165.577532161254,161.948729204493,58.516722087695,51.865437014659,36.3284581649485,60.3956167831835,96.1311157451038,94.5643968847611,68.5935880231469,131.395939194484,105.326274216833,94.6766139390131,95.2923480896437,83.6653680682969,76.4225681331851,86.5689985702629,74.8114597130755,113.206665826363,51.8975326861366,53.6767348297649,60.5303763626661,42.246922260689,47.1847692659552,46.6354772250136,22.4133950538646,49.7771741200102,14.6038574920326,21.9972632706169,32.6002758096902,11.2692607341569,5.08616394155932,1.37035779094246,6.77637278752013,1.47485478180187,1.24119314353835,3.99583417063739,30.6504189603374,78.6353412962033,2.69354650810409,59.5987277477789,27.0431885764362,60.8419669343506,11.8754829803495,58.6555021215558,15.5670233071323,60.6870912040879,59.2451941584365,2.58607613032192,26.8966477135331,54.3089363215318,37.0627629043406,22.9634790540319,2.58291403830765,34.9289559884578,16.3179629806457,2.36891234309022,8.55495201869164,30.8737382176187,4.23098804171764,21.4032788908528,3.25860334781381,4.37404428938629,3.26521689126781
sp|P0A7A5|PIMT_ECOLI,pcm,Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2,5,423.67,P0A7A5,254.615586426324,261.852580253129,246.461045066627,221.999847206944,187.803636071812,180.017526706126,229.013204687759,241.004935142327,209.056960234485,148.991509877855,136.465809206458,150.454666419223,196.790295462472,181.112178009775,175.250122898241,140.087128621049,183.727772338621,186.096955940485,197.106097765492,164.138589445681,183.830659921694,164.341954555517,195.988987657497,211.654236162624,150.4490008603,150.952335729495,151.931348092957,140.414121352612,138.33904708615,177.042042647549,152.526032015593,140.067017452378,140.651384712462,148.738417844946,117.868055537989,146.580121855167,153.267655149966,163.419232856584,153.757889086538,130.029123300057,160.745523013834,122.102131623969,210.609532229347,212.627827495356,197.235848493857,253.773964794421,243.181888944697,249.10080066924,502.340825165169,676.135689398396,536.390800780036,224.564683891106,329.175320511039,268.656290193609,203.023808893139,232.700286210493,208.104024213923,227.842131846639,236.920273092736,212.999772124867,231.901200609918,210.678125474991,244.145759945115,246.688058023489,231.755828757065,256.958638112543,197.832342891681,187.134306783856,227.377933853284
sp|P29131|FTSN_ECOLI,ftsN,Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3,9,469.93,P29131,251.212577966808,260.784965874961,265.206532299931,172.357070869888,168.343701217691,174.267068766038,189.423278771423,194.994912042742,187.33346157535,122.306836321296,123.72501631025,140.731227118987,171.27231924641,209.701568173754,201.687041684912,197.367849782299,186.544186248902,177.543475046691,165.598209472831,188.936971564375,169.881764031248,178.172521354272,169.347011816676,217.67801770742,181.822254445975,195.451422034419,167.307631335193,175.068869948855,176.948208372982,202.841577944361,180.034690342936,193.491583421482,172.394934905283,175.600950083448,190.821943817605,195.674969451229,114.061708894891,121.779713561849,104.423054441059,104.373784615911,103.513005290726,93.2625896395126,176.422587989111,183.424272924133,158.008986380386,129.958455334132,177.549389427466,184.771999019654,244.652187264438,414.843682456752,232.819229380463,146.795136427931,166.030336790995,161.817690083805,194.131294815156,196.25857397808,201.423965235844,212.198284798687,202.363831412041,175.333850498173,197.250945716065,192.078622313646,187.040942499395,155.997207190719,144.109398960037,179.335069348884,260.033742391494,205.678153319681,246.584762139864
sp|P64519|YODD_ECOLI,yodD,Uncharacterized protein yodD OS=Escherichia coli (strain K12) GN=yodD PE=4 SV=1,3,220.61,P64519,245.833896885434,50.2797984205686,123.762998141499,87.0813597660045,81.0907990981219,82.7474767958138,58.5587651744758,44.3493926387123,52.0687179532314,79.4402874172088,82.7698729038658,44.099302477878,94.146901242869,82.4270907311159,80.0435866922147,67.1875712039314,84.4207357849957,95.6765652499036,79.0936063909451,90.5415229887639,70.7863847280293,54.3330263812755,36.8548774765678,42.9441598233702,75.4002182354468,64.3506665031469,96.7441559759297,100.209786694365,85.7490779893033,71.8008658467844,91.7305360855333,80.835648896225,75.7882774527183,124.603029951926,165.223722255387,163.66025437612,890.07058963578,1153.55615056469,799.175459081583,684.038549801798,1327.52346763481,826.061113874694,103.745421122961,94.0953128749177,94.7464824744328,215.475271326335,264.809944626427,238.177455575961,168.043714323486,298.661850165774,91.8127396064511,200.857957243443,151.015422852884,173.613291756818,107.908907291716,72.5476812391428,141.617721890206,136.050890141031,76.6003018066156,68.6743009291911,90.3946031290764,125.488771393456,79.7391217375664,57.4445103966393,109.16154395729,104.719590155303,96.2024894209213,60.0293611030945,40.8192273853003
sp|P0ADT2|YGIB_ECOLI,ygiB,UPF0441 protein ygiB OS=Escherichia coli (strain K12) GN=ygiB PE=3 SV=2,3,124.04,P0ADT2,245.62622385972,209.74258771073,173.118492100275,126.941336605266,153.261152567327,120.228125229306,209.889510494532,238.983366434642,215.203491539397,126.017377401789,106.909724138068,100.514442910843,175.526044244827,206.611296899556,142.672985923869,125.101795976905,135.72981875866,175.384644289542,154.501434423649,183.477177795847,140.357825293063,142.863173168698,121.333756940925,110.725498428004,201.371898500064,215.075687135653,173.775293416152,151.982889096308,129.311776009032,182.935112695055,127.966622630785,112.97822340317,126.180400686347,128.969842806,164.395995648881,161.349482741904,85.433097860053,52.727568022298,44.6534256852819,29.6663736600456,21.3980882357323,31.0460595710997,140.892935545889,116.80797181025,88.8596212228617,274.980535312942,384.543283538417,278.019352116753,141.59253403664,122.828981965453,151.137220693372,227.367344471646,296.219499741298,278.772826322636,209.699140902106,193.890250871636,150.54957087323,111.195921081609,80.3759565449409,122.266738095096,114.15747215295,92.012840007544,121.650622617014,92.6976166063281,137.180669926902,64.5010922590914,95.9097501959997,53.604852022718,113.383347948418
sp|P0A7Y8|RNPA_ECOLI,rnpA,Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1,2,125.88,P0A7Y8,245.418353527071,359.592864691593,309.729038135186,143.803202935223,129.74212044894,130.43003199,170.865137566184,173.098725330464,240.769145194581,83.7909575328875,83.1750895453828,61.426071221256,81.5073738206029,116.630292119841,87.1441128080482,144.876974867032,111.153807923655,120.42880506487,86.564464467635,96.1697891054687,94.2567738306813,52.0795564912766,84.8136764327577,62.2554171757578,165.373357237141,116.667763866834,128.447692602486,112.882957574614,94.9585437931966,84.8922954615475,47.7240319505959,63.2500591381256,71.2743528555988,60.7718947496164,67.1972558087251,76.3471654013492,19.6030020340545,27.7110481994353,58.5078131995289,12.405771818027,17.3114308094946,16.1378049396585,118.582755384674,126.097298390135,98.3015486776964,90.8861290508443,44.386655196648,37.6731125059933,65.4201595372655,38.8070451678398,83.2645728355824,53.058621727906,60.975273815368,53.1073090330038,63.7323164954501,64.2455685798627,224.534169061854,44.7298829427291,46.7418711240006,42.2986163948327,21.130918609011,35.8100221473046,16.5768869204004,49.0250001326377,60.9841713673512,70.4916513968884,65.9279554636614,76.3473082436541,82.1331358994006
sp|P13482|TREA_ECOLI,treA,Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1,15,654.59,P13482,242.963882221939,69.5548273406339,68.4756950739862,63.3034200399978,65.8462514535031,65.9218694714223,79.1933744068821,85.8136759131898,118.22513201942,145.55470451368,136.482018059163,146.718628404056,185.854255944646,201.848504797934,232.973245298972,131.418005336174,162.288775451754,115.034163976012,116.54544770771,140.595978114415,134.344417075301,118.512650139747,105.491988129822,105.69557259897,97.9428244055017,107.545052695499,121.112668599312,147.903000849614,166.609565091989,153.389791031271,196.481758514822,215.171213569561,195.623143671429,232.177064884223,276.42618970271,280.814597626173,204.634878640162,181.8145584511,186.855522572497,187.633273579005,188.400442694352,183.78762329854,60.5875861378024,72.6567674844666,62.1606767843269,107.764879090046,92.8366677389686,118.623445939011,70.0073561495282,66.1662511508114,86.4606640948074,109.384734602078,132.474167044298,128.796520024882,42.1843653147357,54.4301804517619,79.3184820265311,138.320781029821,137.650498785874,130.822849755841,132.279029950683,216.725129837496,173.933558809934,90.1719167350939,119.966912751781,144.132085926952,53.6682914907993,55.6369311538096,67.7277321497244
sp|P00803|LEP_ECOLI,lepB,Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2,6,267.05,P00803,242.186142186625,266.79001889623,257.046706053011,147.007437702371,146.836481920365,145.355061702009,198.528460805575,190.395859961457,211.832307225357,77.9541285437615,88.5487959665663,81.7624652082418,120.528237845254,128.432491406511,117.98291765572,141.243444654997,134.919298109605,139.666269862173,135.364473469481,139.402530219998,136.426596835386,113.60679815193,131.379932273391,157.496081495912,144.031337622347,133.968148542265,135.350435175479,113.561129685702,104.755603785221,130.123386174683,98.5827025192638,110.303194583537,95.1425949297804,103.363177225641,102.086546435063,86.9156942252527,78.3084864094877,102.824977361649,39.6362540397257,105.746498129239,61.1654532347541,60.9448636888284,146.023476461254,140.033644100943,145.031759690153,102.179623414817,67.9350120732266,104.033989691491,156.591264169098,204.517308458328,168.890349588212,122.816716618725,139.373945984343,123.269017063931,142.710438075605,152.818591626741,147.119852607635,142.749863525505,118.477041156168,128.799508099722,115.907412409917,90.3736321082414,100.028102007319,108.168308556704,108.825780102569,119.596146258679,148.229254527918,134.461285933868,155.625818935752
sp|Q47146|FADE_ECOLI,fadE,Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2,22,1395.13,Q47146,242.048407321749,94.4685229659871,189.153714424291,84.3542904766517,86.4414330068026,87.4936604687891,113.526759774203,128.857682626844,156.782485652277,239.866781821062,342.054072712961,310.967519996614,186.782796029905,166.83275621591,246.144799624819,218.035369638759,244.141756952112,208.455478550847,108.378922367933,118.209248550188,138.051692424385,168.554888792484,507.038347508034,403.224757319408,351.273202142932,415.975853241494,450.021077711978,536.768380389747,528.717768713115,486.38470060161,440.050892941275,536.132243552226,443.567235469823,351.516887589845,346.922700993539,317.209761264707,260.720264504297,283.981074009741,196.599109084275,262.795418810185,263.942852471841,321.872901963762,72.7237906529035,75.6080733116589,66.6942509398388,144.266820877943,142.384356097848,111.599272411898,159.113879883113,96.0773216810213,146.62653288233,51.2958830294814,54.0006008398737,46.2751471616923,142.166728314413,106.00849362463,119.581299578046,288.893600490622,290.230095513568,202.840547011102,111.43182206538,81.450197039354,128.974835604011,98.2251394682656,141.106009840138,174.760231442916,140.87263868077,202.176260560163,197.007907029581
tr|D9IX93|D9IX93_ECOLI,gsiB,GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,13,521.76,D9IX93,242.025757339666,179.926631949782,149.771931683733,328.484576872576,299.979325536756,316.200972950503,306.342889282822,349.411634491068,263.448328193076,274.347526607279,334.621131333208,262.964977598249,313.53330191024,291.590833564176,308.014558847492,352.660968118057,347.581607267005,317.071918264353,294.52494896594,318.346264916505,311.478793979954,339.420613075181,279.20801615191,283.804780926801,268.602662593378,248.993873967437,238.416696626216,184.136403879369,232.051247645036,239.3490126401,206.702919823184,193.655750210849,206.093194907951,171.821953008104,175.729714532105,169.430671961623,193.595274525741,240.851483236484,321.974419487909,264.236153010198,242.635859312579,239.700458311565,314.570207975734,286.870024213995,290.385386214248,432.006005226356,345.487963977365,421.861678146127,188.515018938256,237.665199700307,246.005433721322,528.977727697219,549.786637342497,527.850094365004,257.615483804143,303.83068168397,247.252905943442,271.418292297694,326.602189525751,304.383830977241,253.967037613345,330.795825300476,326.10348607329,293.008814128714,294.101239062523,339.930632479176,291.028781487604,329.317112469417,266.269976979997
sp|P28861|FENR_ECOLI,fpr,Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4,5,195.94,P28861,241.269165409658,163.698242410287,193.8548857263,177.65992292788,184.002150202537,189.644651899496,152.525462396001,239.431931889079,161.405569023837,140.129396268481,133.31588900947,113.38186005193,150.843219834306,137.650860778663,103.80243933502,220.948868882167,243.50670577709,168.056785949358,133.442731420641,127.451936950165,128.811060859819,147.432507576329,124.386273985566,159.92019161125,104.153133078109,96.8191607813827,115.14012200028,112.73215575069,107.427561948209,90.5966391412807,97.5645344850385,92.0508224788245,93.1846905798439,64.3467551296376,76.1785855997,77.0468176213088,34.7879991462903,143.82867418389,80.7932911875853,120.076957049168,117.52442636552,119.995187240505,140.103721374918,122.867951502838,150.672025294914,309.572421111362,291.685921425841,215.940290789776,130.018460002332,145.159399441168,135.493921432321,251.804111915967,219.756248497633,222.998939113309,108.974724491037,170.739953655536,139.471748067063,152.504796730005,119.727365428554,165.61388247142,124.115831299808,115.751857625211,95.7351234110171,92.1059777870223,106.590511588393,113.100146990811,124.357029394519,100.458242156477,136.293230608053
sp|P0AEX5|KPPR_ECOLI,prkB,Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1,5,537.41,P0AEX5,238.431624335506,154.6517571264,144.40146713064,172.851201835239,172.346140050354,186.414361913921,268.592478664889,228.741247959727,143.300882822662,245.298704437247,194.712736135063,267.266576652829,234.607413206101,289.446919768952,322.433159999923,297.993066955636,292.280091168426,287.454590671898,275.828793368395,291.027352047662,330.815287225134,363.337925696955,304.640277075491,192.300303930926,291.100850730248,297.220804502287,289.637701530337,243.134583053688,263.277686726037,244.855359482378,285.054136642977,276.957557076893,306.294978448298,253.734170916332,265.720391483821,279.426477344743,103.769912686327,101.700225945832,63.4243755317889,159.51343942662,77.064297027015,156.027067844478,157.736987770859,162.895544275783,207.706437311671,172.740360023035,179.494989182544,251.899836743235,164.463830107918,211.123961472456,128.130684833712,176.999235952681,236.919164809325,277.765715690688,234.384631132689,274.447001619801,255.405666227756,194.925884529882,182.800213634731,212.025643094831,231.288764016763,313.40581246329,226.72837222862,204.889719906154,169.80200454045,208.186905292602,256.681045881369,257.736068303101,254.769860357136
sp|P0ABV2|EXBD_ECOLI,exbD,Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1,7,289.84,P0ABV2,238.052536126933,399.333863215846,266.544945162869,361.33772214327,395.724309696201,368.190456402147,546.613190130655,476.498767559645,507.276316855341,132.332701325292,160.298225610394,141.682857140568,221.435197424283,271.520820388636,211.434474110281,214.451234613536,219.171513942627,215.1565114759,298.356961728247,282.387659595124,270.989789921818,263.080592963574,225.156444910814,238.627275571014,210.123818980474,221.335631044637,199.253482058969,107.033804190843,115.243132699253,129.07365950931,91.7706531955043,84.2409475635214,100.474232303746,58.6340503153587,54.921054490847,65.607113971254,163.535492808279,143.798239738818,175.574106558116,96.5183068030084,78.3930894600018,104.213330926062,421.1042516225,456.199578189862,380.225803755236,919.580448768174,901.672811212115,955.8075125618,449.396593455712,453.557909609519,499.627175581979,575.507419503239,609.100211530906,597.335561431397,577.459513238234,551.679422156076,568.54858792222,226.406025073901,186.298478603823,192.92433471688,156.973717951397,157.820690855298,130.744539918517,368.79904037999,226.129690789533,261.556722362562,330.023502477808,348.496811835863,338.735880776797
sp|P52108|RSTA_ECOLI,rstA,Transcriptional regulatory protein rstA OS=Escherichia coli (strain K12) GN=rstA PE=2 SV=2,7,289.71,P52108,237.266132903387,277.962204679083,286.519806704833,242.952609746417,235.159636860108,251.324335720785,296.543056599924,264.315045368551,294.611278703255,175.2189354338,209.215760831587,135.488422662233,182.667417783244,178.16645966846,193.418447362772,129.162007470179,162.053209426634,134.571932944419,220.607555639062,196.410747233771,222.809660563183,247.698711415629,234.799101932512,255.044068505549,131.400804319844,108.153245071953,118.484790747894,119.976728158704,114.781992522215,146.954055706752,95.1737523274346,90.4194648716335,93.1442991098007,106.106658540889,123.70713150965,101.240595496218,52.4909894396595,65.5991816207569,77.4043546486703,61.0636962401651,63.208790348936,54.0061503188751,178.098776526266,223.313657352257,187.856438885174,149.210283586246,162.534127260226,142.784807009002,193.834905022627,184.535881888261,238.932394677663,229.399514011484,264.015661645965,311.881912489585,213.172241926661,179.390158966315,210.528250017664,143.154335056942,152.699304939565,173.026547748485,163.45038860857,169.152812743238,121.592586050473,187.541561185694,182.23832909266,201.548637089388,1167.28775374003,214.731011258129,943.659423508609
sp|P0A9I3|GCVR_ECOLI,gcvR,Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2,4,190.11,P0A9I3,236.61130769135,214.125164281781,176.079416490315,323.893802833466,286.940942231981,326.750854754681,174.479126598741,190.429346396617,175.151199128782,239.831710650719,195.56937447514,239.035372228326,204.127370157369,246.748688247104,220.009834364555,384.280604112096,281.359666295482,472.536252885828,323.271783677052,353.303674199025,251.296796068945,385.351886129808,376.194796938818,384.47930714597,273.006362738007,287.393538512058,308.777312207747,303.462550498864,206.369188290325,202.416002073082,213.278897964892,201.428087991261,280.222060210529,226.994385688519,229.588290691008,148.36784941932,208.179065028382,123.508408027612,170.673168819628,130.136912515818,110.701621665774,145.128021795536,544.031767277217,209.802968297393,301.657944248488,359.805979851042,309.109222665571,476.308618916376,324.673558266124,220.164961144541,259.685721350481,561.6134613486,509.826775366831,535.273559775613,349.910992328817,357.933488974995,317.14639339997,263.503826718113,262.196975496491,228.144231578217,237.316700014805,187.40732963494,265.416214306908,221.574292412891,240.697033896831,261.402208287349,384.059849720554,387.843173158858,463.02643621622
sp|P0ADP2|YIGI_ECOLI,yigI,Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1,4,139.2,P0ADP2,236.545126752767,189.071554536496,231.130886898536,122.070865688655,106.624150398226,104.809409508227,162.595185614551,244.680498581345,169.55945810391,107.029162030905,110.951213203645,109.086297455416,144.152463628756,126.822960205286,109.429656302993,150.778316901791,153.479881760096,153.495153164572,99.3889217670596,87.7656881891832,91.6169408796836,126.400378982641,134.34524733723,149.552595651965,121.235778152686,130.162214465467,146.926100083666,137.284000189106,97.4116510981703,104.526785044269,91.107097042226,106.868641061185,63.809153050357,100.127357529446,80.8115053936861,55.0348500111187,82.3887630721363,378.945291938022,134.823369941312,104.351481824172,110.675650425264,117.776714484248,103.876670185546,111.24234047871,89.8142879330741,271.641780986455,259.239386210707,215.839962094284,343.790259129409,451.856452635745,293.893236285634,266.138395877798,273.840685774362,294.790758183364,140.439570655746,180.924171855037,155.553798447133,114.136919361898,99.3567196106701,123.44658699294,110.642474841078,98.4413002570047,96.4101874418367,113.480888411227,116.19461916359,115.913416711024,102.860448263187,97.8526974576324,110.194848502902
sp|P25397|TEHB_ECOLI,tehB,Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1,5,343.6,P25397,235.712166641337,213.534341599612,262.157531431714,215.864578180159,228.650321554172,224.4134456033,227.633169699286,272.413804399805,197.88013121531,173.341086027577,166.269623151581,187.069543722455,163.166600988175,164.518246289763,143.105979129483,184.942881367024,183.570878163015,190.996307935896,173.846072745421,152.415978703508,161.839230107748,147.447596384922,120.023849208788,146.297898690503,163.53456425054,165.954081749745,186.233893902546,159.95104274874,141.761666567998,157.392015985666,133.108797622837,115.853697041444,125.939845752003,104.308619078548,87.323445903739,95.5020897867866,561.968482328311,640.644504954793,471.989905729416,424.518347483011,475.019603400847,352.642855804613,218.170231878254,247.455584640233,227.136321505319,1225.04837842646,862.824019688591,865.119123122388,204.469157617444,331.614514490885,317.123062815818,341.908388166559,371.034261775376,326.803651982254,282.407469277525,361.863670037572,270.615288092307,163.862333553042,161.848134436513,196.146997043346,158.967387522564,147.065188150366,127.65778511711,171.965040380717,150.366141278337,154.186079222002,212.43173574108,199.816118257091,198.223697005222
sp|P0AEX3|KGTP_ECOLI,kgtP,Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1,6,323.34,P0AEX3,234.616694932462,164.589336278603,231.464371607935,129.449375995715,124.431594938138,116.924730132589,211.263459997965,192.086559550475,253.281270012999,112.064991013332,135.484182974731,103.410895879828,143.52473407096,154.393064493684,144.521766365201,306.682853495625,333.585143305559,300.307381867358,93.0355589709767,90.6445220586823,93.7630020106378,78.0184329074321,139.504623666771,135.748963811117,328.938711570232,329.414466049328,346.325046742669,356.909139981569,320.810114880146,403.370796032526,416.609586028564,474.43170980721,366.631050741667,424.806498677324,397.270072560358,415.533932119217,79.8388680327001,79.0594324934001,87.7658527961115,80.6364401957626,54.1459240242453,83.0324265298873,113.35200684977,116.749584872608,132.569035038955,204.450573497965,315.511279277818,240.632859897919,128.219964627151,164.767202531693,145.743881997632,172.227069918126,160.384071844479,152.568133040303,219.340016196166,240.578977417042,279.285512220067,156.058610869954,153.303572061633,182.413406318501,234.788301904576,126.80793150202,146.2421808736,126.103755569678,136.99148557731,134.032288447945,157.065873630196,130.321050148984,121.278792570922
sp|P21363|YCIE_ECOLI,yciE,Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1,5,181.98,P21363,234.405524216333,150.732374711444,177.302406945828,329.564182044946,270.158645067868,309.028830296344,165.228299136764,142.541275055101,87.1084778369736,390.598534921551,412.720150916532,343.873929477172,286.902926114204,276.015587267655,338.100855043444,299.824647179341,398.27561044619,387.760561328187,238.095540188775,285.254734122839,260.543129884885,238.132349762977,216.885025116393,236.108679115102,232.906472254175,282.683126314734,400.453852794612,359.820368675785,303.235337398024,262.366233212581,361.620700342825,354.279469761987,409.503768354622,454.605504027498,473.743213934486,413.196237905322,188.919672946281,163.68613738341,140.088573645855,192.454555703577,337.348207833527,182.114479679687,291.015757625903,225.673796739939,349.466865135976,576.018765935183,347.140661495857,417.727684872066,444.210330733547,302.39045867972,367.347933279657,307.116840021561,318.401869522114,263.605024087745,149.30891122827,148.430692539458,210.827112467793,312.609208388603,409.309583090287,478.11374382406,616.764483880632,410.383585589167,372.614586959932,231.103895871187,386.592315019968,348.841619400841,245.334237352775,116.890825933929,169.940469403364
sp|P0AF20|NAGC_ECOLI,nagC,N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1,10,508.96,P0AF20,234.230189537533,239.275047302845,206.497219856142,106.080735008105,123.898509742614,125.344210769636,186.361124574365,173.470258043255,267.184836078109,86.546439920722,100.261282363387,105.711606250205,118.953706923294,96.4548734722888,109.895052899457,136.974342045744,129.779105787582,140.343021845289,131.394467803733,118.250006577127,123.839753175746,93.8187693841326,132.077625660007,103.888800578425,161.618094776752,163.118550990786,157.5326459177,137.208553728279,132.213296649034,146.744693220337,144.442987784878,143.010425429305,133.198626521183,139.879250330632,151.667226399745,133.265194853532,108.249586025105,108.867470188674,94.8412781977183,117.286550897529,97.8872399336804,119.022628275815,126.655970889132,113.172655063334,103.830793741966,50.6553561839433,196.249692911253,148.137216777836,302.489075172702,231.00779254318,159.951729204469,149.104406471476,138.278201126718,124.049267259338,137.813169812167,155.310044653112,143.239391925823,116.38863372057,108.922646343808,114.755154524785,171.718535114797,111.669928321177,186.276491417103,94.2049712298473,98.0053999555579,109.454877611052,128.766078306075,109.352692166109,150.529910407566
